Context,ScarLength,Length,CortexPerc,Thickness,Width,CortexLoc,CoreType,ScarNumber,Weight,PlatformType,Platforms,BlankType,CoreSection
PAP 4'00-4'75,34.45,34.25,0%,28.12,16.54,,Prismatic,8,23,Plain,2 oposed and 1 isolated platforms,Mixed,Quadrangular
AMB IV,33.42,38.12,<25%,19.02,29.09,,Prismatic,10,31,Faceted,2 oposed and 1 isolated platforms,Bladelets,Quadrangular
VB C,24.77,27.7,<25%,24.16,31.26,,Simple,4,32,Plain,2 crossed platforms,Mixed,Quadrangular
VALM,24.71,38.15,25-75%,22.2,33.96,,Simple,4,27,Plain,2 crossed platforms,Flakes,Irregular
PAP 5'25-6'25,25.07,30.73,25-75%,22.4,17.02,,Simple,2,16,Plain,2 crossed platforms,Bladelets,Quadrangular
VALM,18.41,26.71,0%,11.98,43.62,,Simple,5,16,Plain,Multiple platforms,Mixed,Quadrangular
AMB VI,32.46,32.45,<25%,27.54,37.87,,Simple,4,52,Plain,Multiple platforms,Flakes,Quadrangular
VALM,12.46,25.22,<25%,11.13,28.46,,Simple,6,9,Plain,Multiple platforms,Flakes,Quadrangular
VALM,17.22,25.3,0%,17.82,35.7,,Prismatic,9,19,Plain,Multiple platforms,Mixed,Quadrangular
PAP 4'00-4'75,36.28,31.61,<25%,23.66,39.16,,Prismatic,9,41,Plain,Multiple platforms,Mixed,Quadrangular
AMB II,39.95,51.68,<25%,23.03,46.48,,Prismatic,13,59,Plain,Multiple platforms,Blades,Irregular
AMB VI,17.07,24.39,<25%,24.71,42.58,,Informe,4,32,Plain,Multiple platforms,Flakes,Quadrangular
PAP 4'00-4'75,16.15,21.29,>75%,19.42,27.82,,Informe,1,17,Plain,Multiple platforms,Flakes,Irregular
VALM,18.49,25.56,0%,21.09,31.55,,Informe,0,16,Plain,Multiple platforms,Mixed,Quadrangular
VB C,20.47,23.83,<25%,28.43,27.55,,Informe,4,28,Plain,Multiple platforms,Mixed,Irregular
VALM,11.14,29.6,25-75%,13.62,33.04,,Informe,12,15,Plain,Multiple platforms,Mixed,Irregular
VB C,27.72,35.66,<25%,17.79,26.23,,Informe,3,14,Plain,Multiple platforms,Mixed,Irregular
PAP 4'75-5'25,24.6,26.79,0%,25.31,19.05,,Informe,3,14,Plain,Multiple platforms,Mixed,Irregular
PAP 5'25-6'25,25.29,29.47,0%,14.48,19.9,,Informe,3,12,Plain,Multiple platforms,Flakes,Quadrangular
VB A,20.78,34.89,25-75%,8.57,16.35,,Informe,6,4,Plain,Multiple platforms,Mixed,Irregular
AMB II,23.71,26.79,25-75%,20.74,30.35,,Informe,5,18,Faceted,Multiple platforms,Mixed,Quadrangular
AMB VI,36.2,43.07,25-75%,19.6,20.26,,Informe,2,31,Faceted,Multiple platforms,Flakes,Irregular
AMB IV,41.99,48.29,<25%,27.98,52.01,,Informe,7,64,Other,Multiple platforms,Mixed,Irregular
VALM,31.77,46.87,25-75%,25.31,41.42,,Informe,3, ,Other,Multiple platforms,Flakes,Quadrangular
VB C,23.44,26.24,25-75%,19.1,17.42,,Informe,5,10,Other,Multiple platforms,Mixed,Irregular
VB A,30.92,51.33,0%,13.58,45.45,,Discoidal,4,36,Plain,Multiple platforms,Flakes,Circular
VALM,30.23,48.84,25-75%,20.53,43.21,,Discoidal,6,42,Plain,Multiple platforms,Flakes,Circular
VALM,24.22,57.74,<25%,24.41,49.42,,Discoidal,5,71,Plain,Multiple platforms,Flakes,Circular
VB A,22.52,48.53,<25%,48.67,56.05,,Globe,5,136,Plain,Multiple platforms,Flakes,Circular
PAP 4'00-4'75,16.77,38.53,0%,12.3,26.63,,Discoidal,4,17,Faceted,Multiple platforms,Flakes,Irregular
VALM,18.45,52.02,25-75%,18.88,49.28,,Discoidal,7,48,Other,Multiple platforms,Flakes,Circular
